MUNICIPIO,departamento,SUPERFICIE SEMBRADA (Mz),SUPERFICIE COSECHADA PARA GRANO Y SEMILLA (Mz),PRODUCCIÓN PARA GRANO Y SEMILLA (QQ),ANIO,ORIGEN_DATOS,shape_leng,shape_area,gid
SANTA ROSA DE LIMA,LA UNION,22.89,22.89,264,2213,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4847095612880,0.009871375226320,127
EL SAUCE,LA UNION,2.25,2.25,5,2062,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5557855226980,0.009121481690030,128
ANAMOROS,LA UNION,110.39,110.39,1128,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5701622577670,0.010883218880800,129
CONCHAGUA,LA UNION,164.05,163.23,1832,2041,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5429961484410,0.013851902138900,130
INTIPUCA,LA UNION,11.31,11.31,176,2076,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3817423539700,0.007507057530530,131
NUEVA ESPARTA,LA UNION,115.98,115.98,965,2114,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.6117187282730,0.007607907568140,132
LISLIQUE,LA UNION,258.83,256.27,2790,2097,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5165166574990,0.007876967895050,133
POLOROS,LA UNION,62.78,62.78,508,2129,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.6627184008750,0.009228017309440,134
CONCEPCION DE ORIENTE,LA UNION,30.26,30.26,234,2039,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4555115021080,0.005829557426000,135
YUCUAIQUIN,LA UNION,6.18,6.18,101,2254,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3226197156850,0.004021228267190,136
BOLIVAR,LA UNION,4.46,4.46,53,2012,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3334969263510,0.005054894169540,137
SAN JOSE,LA UNION,0.00,0.00,0,2168,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2487224906330,0.003388737093200,138
YAYANTIQUE,LA UNION,23.65,23.33,226,2252,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2914460941460,0.003514095075650,139
EL CARMEN,LA UNION,16.75,15.40,193,2051,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4959054499700,0.011745884260200,140
LA UNION,LA UNION,95.71,95.71,1343,2094,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,1.3330099167500,0.012135765298700,141
MEANGUERA DEL GOLFO,LA UNION,15.16,14.68,91,2102,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3548591015390,0.002061234867330,142
JIQUILISCO,USULUTAN,267.36,267.36,4957,2081,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,1.1534446724200,0.035911029233900,143
SANTA ELENA,USULUTAN,476.52,472.77,6185,2208,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3076168712180,0.005351687823720,144
SAN FRANCISCO JAVIER,USULUTAN,89.06,87.31,1186,2157,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3045621353310,0.004077432349760,145
TECAPAN,USULUTAN,343.68,332.79,4268,2235,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2619271811140,0.003547576586870,146
CALIFORNIA,USULUTAN,18.20,18.20,262,2014,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1642202123520,0.001539339541640,147
OZATLAN,USULUTAN,146.23,146.23,2257,2124,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3607556389960,0.003960184455800,148
SANTA MARIA,USULUTAN,14.60,14.60,188,2210,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1727049050340,0.001371818636780,149
EREGUAYQUIN,USULUTAN,15.22,15.22,171,2065,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2245057127320,0.001485166861140,150
USULUTAN,USULUTAN,239.69,231.68,3061,2248,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,1.1653780395000,0.019470098351300,151
CONCEPCION BATRES,USULUTAN,665.91,640.34,5608,2037,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5066009797810,0.008881388831390,152
SAN DIONISIO,USULUTAN,10.43,10.43,128,2150,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2023463159860,0.002468127817660,153
PUERTO EL TRIUNFO,USULUTAN,0.71,0.71,11,2131,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.6668259141900,0.014029780479200,154
JUCUARAN,USULUTAN,328.27,318.34,3617,2087,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.9939103847240,0.019650537343800,155
SESORI,SAN MIGUEL,94.00,94.00,1351,2225,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.7479027543750,0.016370219493500,156
NUEVO EDEN DE SAN JUAN,SAN MIGUEL,6.69,6.69,107,2119,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4805303376220,0.009032373360920,157
DOLORES,CABANAS,53.96,53.96,555,2048,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.6126079299120,0.011583327114200,158
SAN GERARDO,SAN MIGUEL,28.01,28.01,178,2161,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3765621883590,0.006731847061300,159
SAN LUIS DE LA REINA,SAN MIGUEL,25.77,25.77,158,2178,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3406785964310,0.004750960150880,160
CAROLINA,SAN MIGUEL,131.65,116.06,792,2019,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3937167680580,0.004422079662980,161
SAN ANTONIO,SAN MIGUEL,141.66,141.54,796,2139,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2869584673460,0.002810410083160,162
CIUDAD BARRIOS,SAN MIGUEL,319.10,297.74,2195,2030,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5358976995370,0.009723881386760,163
CHAPELTIQUE,SAN MIGUEL,58.62,56.30,558,2022,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4676859322580,0.008643768371660,164
LOLOTIQUE,SAN MIGUEL,149.07,149.07,1396,2098,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3810063359160,0.006082502137910,165
MONCAGUA,SAN MIGUEL,56.89,53.23,577,2107,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4422711937840,0.007911893821830,166
